Campionati Italiani;Di Mattei Alessandr;Marconi Francesco;23;27;F5-F6-E6-F4-G6-D6-E3-D3-G4-E2-G3-E7-C6-F7-C5-F3-G5-C4-D7-H3-B3-C7-F2-H6-C3-B6-H4-H5-G2-B4-A5-D2-B5-A6-E8-F8-G8-C2-C1-A3-A7-H1-B8-F1-B7-C8-D8-A8-A4-H8-H7-G7-B2-H2-D1-B1-E1-A1-A2-G1
Campionati Italiani;Marconi Francesco;Di Mattei Alessandr;21;32;F5-F6-E6-F4-F3-C5-C6-E7-D3-E3-C4-D6-G5-C3-G4-B5-F8-G6-E2-H5-D7-F7-H4-C8-D8-E8-B8-G7-C7-H3-G3-H2-D2-B4-B6-C2-H6-H7-H8-G8-H1-D1-G2-E1-F2-A8-A5-A4-A3-B3-C1-A6-F1-G1-B7-A7-A2-A1-B1-B2
Campionati Italiani;Marconi Francesco;Di Mattei Alessandr;32;30;F5-F6-E6-F4-F3-C5-C6-E7-D3-E3-C4-D6-G5-C3-G4-B5-F8-G6-F7-H5-H4-H3-E2-C7-G3-D7-C8-H2-H7-F1-E1-D1-F2-D8-D2-E8-B3-C1-G7-B4-B2-C2-H6-H8-G8-G1-A6-A5-A4-A1-B1-A2-H1-G2-A3-A7-B6-B8-A8-B7
Campionati Italiani;Scognamiglio Paolo;Palladino Domenico;47;36;F5-D6-C5-F4-E3-C6-D3-F3-E6-F6-G4-G3-G5-H5-H4-H3-G6-H6-F2-E1-G1-B5-E7-F7-B4-C2-F8-C4-C3-C7-C1-A4-D7-D2-E2-D8-E8-G8-B6-C8-B7-A5-A7-D1-F1-A8-A6-B3-B8-B2-A1-B1-A2-H1-A3-H8-G7-H7-H2-G2
Campionati Italiani;Palladino Domenico;Scognamiglio Paolo;13;11;F5-F6-E6-F4-E3-D6-G4-D3-C4-E2-C7-C3-C2-F3-D2-C5-B4-D7-F1-E1-E7-G1-F2-G3-H3-C6-G6-H6-G5-F7-B5-E8-D8-C8-G8-H5-H4-F8-B8-H2-G2-D1-C1-H1-H7-H8-G7-A8-B7-B6-A6-A5-B1-B2-A1-B3-A4-A3-A2-A7
Campionati Italiani;Di Mattei Alessandr;Palladino Domenico;33;38;F5-D6-C3-F4-F6-C4-D3-F3-E3-E2-C6-E6-C5-B5-D2-D7-B4-B6-E7-C7-D8-C1-A4-G5-G6-E8-F8-G4-C8-F7-H5-H4-H3-G3-A5-B3-F1-D1-G8-A7-A6-B7-B2-C2-A2-H6-H7-A3-A1-B1-E1-F2-H2-G2-H1-G1-G7-H8-B8-A8
Campionati Italiani;Di Mattei Alessandr;Scognamiglio Paolo;23;29;F5-F6-E6-F4-G6-C5-G4-G5-F3-E3-D3-E2-C4-G3-H5-F7-E7-C2-D2-F2-D6-C6-C3-B5-B3-B4-F1-E1-F8-C7-D7-D8-C8-E8-D1-H4-H3-H6-H7-C1-B1-A3-B6-A6-A5-A4-G1-G7-H8-G2-A7-B7-H2-H1-B8-A1-B2-A2-A8-G8
Campionati Italiani;Marconi Francesco;Di Mattei Alessandr;24;36;F5-D6-C5-F4-E3-C6-D3-F6-E6-F3-C4-B5-D7-C7-B6-E8-D8-C8-G4-G3-G5-A5-E2-H3-H5-G6-E7-F7-G7-E1-F2-F1-H4-H8-H2-B4-B7-A8-B8-D2-D1-C1-G2-C3-C2-B1-A3-A4-A7-A6-B3-A2-B2-A1-G8-F8-H7-H6-H1-G1
Campionati Italiani;Ortiz George;Di Mattei Alessandr;29;36;F5-F6-E6-F4-C3-D7-E3-D6-E7-D8-G3-F3-G4-C6-C5-D3-C4-G5-F7-G6-E8-H5-H6-B3-C8-B6-B5-A5-H4-H2-D2-F2-C7-B4-E2-E1-C1-D1-F1-H3-H1-G7-A4-G8-H8-F8-H7-A6-A7-B7-C2-A2-A3-B2-A1-B1-A8-B8-G2-G1
Campionati Italiani;Chiarulli Giuseppe;Di Mattei Alessandr;17;28;F5-F6-E6-F4-E3-C5-C4-D7-C6-D2-E2-C3-D3-D6-C1-F2-G4-G3-G5-B3-B5-B4-B6-C7-F7-A5-A4-F1-E1-F3-E7-H4-H5-H3-H2-H6-H7-G6-D8-C8-E8-A6-B8-A3-C2-G2-H1-G1-G7-F8-G8-H8-A7-A8-A2-B7-A1-B2-D1-B1
Campionati Italiani;Di Mattei Alessandr;Ilacqua Gianluca;44;49;F5-F6-E6-F4-E3-C5-C4-E7-C6-D2-E2-D3-C3-C2-D1-C1-B1-E1-F1-F2-G1-B5-F3-C7-B4-A4-B3-A3-A6-B6-D6-G3-C8-B8-A8-A7-G2-B2-A5-D7-B7-H2-H4-H3-H1-G4-G5-H5-H6-G6-F8-F7-A1-A2-G8-G7-D8-E8-H7-H8
Campionati Italiani;Di Mattei Alessandr;Tormene Paolo;48;42;F5-F6-E6-F4-G6-C6-G5-D6-F3-E7-C5-G4-F7-D7-E8-H5-C3-D8-C8-C4-B6-G8-B5-H6-B3-C7-D3-F2-E3-B4-A3-E2-B8-A5-A4-A2-D2-C1-D1-E1-C2-B1-G2-A6-B7-G3-H3-H4-F1-G1-H7-A8-F8-B2-H8-G7-A1-H1-H2-A7
Campionati Italiani;Scognamiglio Paolo;Palladino Domenico;21;25;F5-D6-C5-F4-E3-C6-D3-F3-E6-F6-D7-B5-E7-F7-G6-C4-G5-C2-G3-G4-D2-H5-B3-B4-D1-C1-C3-E1-C7-F2-E2-F1-G2-B6-H3-C8-F8-B1-A6-E8-A3-D8-B8-G7-H4-H6-B2-H2-H8-G8-H7-H1-G1-A1-A2-A4-A5-A7-B7-A8
Campionati Italiani;Palladino Domenico;Marconi Francesco;37;34;F5-F6-E6-F4-E3-C5-C6-D6-E7-D7-C3-B5-G3-E2-F7-D3-C8-G4-C4-G5-D2-G6-F1-B4-B3-D1-E1-G1-H3-H4-C2-F2-F3-H2-H6-H5-H1-G2-C1-A2-A6-A5-A3-C7-A1-A4-B6-F8-D8-E8-B7-B1-B2-A8-A7-B8-G7-H7-H8-G8
Campionati Italiani;Ortiz George;Palladino Domenico;31;38;F5-D6-C4-G5-F6-F4-F3-D3-C3-G6-E3-E6-H5-G3-G4-F2-E2-H6-C5-H4-F1-D1-H3-H2-D2-C1-C2-B5-B6-B4-A5-G2-A6-B1-C6-B3-H1-A4-H7-C7-A3-B2-B7-G7-B8-D7-H8-A8-A7-A2-F7-E7-E8-C8-D8-F8-G8-E1-A1-G1
Campionati Italiani;Palladino Domenico;Ilacqua Gianluca;47;35;F5-F6-E6-F4-E3-C5-C6-D6-E7-D7-C3-B6-G3-E2-F7-D3-C8-E8-C4-F3-F2-B4-B5-B3-F8-G4-C2-D2-E1-A6-D1-C1-H5-H4-G6-G5-D8-C7-H3-F1-B2-H7-B8-A2-A1-B1-H6-H2-A5-G7-A7-A4-A3-G2-G1-G8-H8-B7-H1-A8
Campionati Italiani;Scognamiglio Paolo;Ortiz George;37;35;F5-F6-E6-F4-C3-C4-D3-D6-F3-E3-G4-G5-C5-F2-G3-E2-C7-C6-D1-B5-H6-B4-G6-H5-H4-E1-F1-C8-F7-E7-B3-F8-D7-C2-D8-E8-D2-H3-H2-C1-B1-G2-A4-A5-A6-A3-A2-B6-A7-B7-A8-B8-G7-H8-G8-H7-H1-G1-B2-A1
Campionati Italiani;Scognamiglio Paolo;Chiarulli Giuseppe;22;23;F5-D6-C5-F4-E3-C6-D3-F6-E6-D7-G3-C4-B4-E2-D2-G4-E1-B3-B6-C3-B5-C2-C1-F1-F2-F3-H5-A5-G5-A3-A6-C7-A4-A7-G6-H6-F7-E7-E8-H4-H2-C8-D8-A2-B8-H7-G2-H1-H3-G1-H8-G7-G8-F8-B7-A8-B2-A1-B1-D1
Campionati Italiani;Ilacqua Gianluca;Scognamiglio Paolo;20;27;F5-F6-E6-F4-E3-D6-G4-D3-C3-H3-C4-G3-C6-C5-E7-F3-D7-E2-B5-B4-G6-C2-F2-F7-D2-G5-H6-H5-F8-A6-A3-A5-A4-B3-A7-E8-D8-C1-D1-B1-G8-C7-B6-B8-H4-H7-B7-H2-G2-B2-C8-H8-G7-G1-H1-F1-E1-A8-A2-A1
Campionati Italiani;Scognamiglio Paolo;Tormene Paolo;46;39;F5-F6-E6-F4-C3-D7-F3-D6-E7-C5-C6-B5-G3-E3-C4-D3-G4-G5-F7-G6-C8-F2-H6-H5-H4-H2-B6-C7-D8-A6-A4-B4-A3-B3-A2-F8-E8-B8-E1-G1-H3-H7-E2-C2-D1-B1-D2-F1-C1-G7-A1-B2-H1-G2-H8-G8-A8-B7-A7-A5
